review_body,sentiment
about amazonbasics amazon basics was launched in is amazons own inhouse brand for fast moving small electronic consumer goods here amazon uses its massive collection of sales data to launch products that are in huge demand already exist in the market but at lower prices simply put up similar replica for something successful but at much affordable prices if something isnt an immediate hit amazon pulls it and moves on amazon otherwise is like an online marketplace where it provides portal for various sellers to sell their product but with amazonbasics amazon is selling its own product at its own marketplace here it derives the benefit of eliminating any intermediate distributors or retailers hence amazonbasics branded products are available for lower price attracting bulk customers online as an additional benefit amazonbasics products are delivered free to prime members are covered under amazon warranty for all and hence any claim or replacement procedures are highly streamlined immediately taken care of about our product requirement vs actual recently purchased new qualcomm qbix car charger was looking for cable with usb to micro connector listed my priorities under various heads to come up with conclusion and let us compare the actual product based upon my initial requirements data exchange since it was to be primarily used for fast mobile devices charging in car data exchange capability was not much of my concern preference though would surely have been usb but it didnt bother me if could only get usb too actual product did try to copy movie file just for the sake of testing data exchange and found it to be pretty well did not capture any speed data but then we all know speed of data transfer also varies with the type of data being transferred the more variety of data being transferred simultaneously the lower will be the speed length of the cable again since could not afford to have lengthy loop of cable bunched around my gear knob preferred to keep it short simple hence my only lookout was upto around meter or below actual product the cable came nicely packed in paper packet and was precisely meters or approximately feet long the length was sufficient for me to plug in any of the mobile devices to my car charger at the drivers or the side passengers seat tangle free flexibility strength standards am not particularly fan of those stubborn braided wires which are so hard that they retain the shape in which they are bent wanted something that was thick yet flexible enough to acquire circular shape when bunched actual product the cable received looked exactly as shown over the site with good flexibility reasonable thickness sturdy intermediate cable the whole construction of the cable due its cable size flexibility is almost tangle free the associated cable was not exactly thick but cant be termed as thin or delicate too its not the thickest ive seen but then thickest doesnt always means most durable given my application its more than just suitable the overall built quality of the cable insulation looks promising enough to last few years even if used for other than car charging it looks durable enough to last long had further shortlisted mansaa an amkette cable for the same purpose but they were too long for my requirement compact moulded connectors had an inclination towards moulded connectors to avoid any issues where the connectors break open exposing the terminal pcbs actual product there are no complaints regarding the connectors of the actual cable the connectors are perfectly moulded without any joints or risks of splitting open the connector casings are further quite compact at terminals to fit in comfortably at scarce spaces the connector ports are sturdy enough both at usb micro ports the micro port pins lock securely onto the charging mobile devices which is quite good no signs of loose construction being gold plated is more of misleading fancy term in this case as most of the metal ports designed today already have corrosion resistance nobody is going to use them in saline sea water anyways availability of ties velcro straps as per my intended use in car where compactness was of paramount importance expected an included cable tie or velcro strap would be nice add on to properly adjust arrange the cable as per requirement actual product this miss the most in the provided actual cable there is no provision of an included strap or cable tie through which could adjust my required cable length easily decent current handling capability on the newest qc certified chargers the current transmission can go up to amps in certain cases hence the cable needed to have decent current handling ability actual product the actual cable has nameplate rating of handling up to amps against demands at new qc chargers that could go up to amps here let me clear out that the latest qc chargers vary voltage to current ratios to achieve desired fast charging thus it is not like continuous flow of amps is there it keeps on reducing hence cable ratings designed for continuous current handling of anything above amps would sufficiently work with qc chargers have tried it safely multiple times charging my samsung from without the cable getting hot warranty comes with year warranty as expected not the best in the industry but reasonable other observations apart from the above listed features the other details of the actual product received worth mentioning are the cable is manufactured in china imported by amazon warehouse dealers under the brand name philosophy of amazonbasics the cable has manufacturing date of oct it was imported to india in dec the cable has mrp tag of bucks however purchased it online for bucks being prime member shipping was free customer care toll free number email is also printed over the label for registration of any consumer grievances final verdict it has been few days since have received been using this product so far everything from construction to performance seems to be convincing enough to recommend it and for price of around suppose its worth it will surely update if any malfunction is observed worth for buy the quality that amazon basics at times give at cheap prices is beyond imagination simply superb goverment shouldnt hinder amazon products amazon products rather gives competition to local qualityless products which consumers are forced to buy beacause they have no quality competition make in india is good but if the make in india products are simple cheap copies of branded products without any investment in and without and make in india would never be successfull and ousting companies like amazon will only lead to loss for consumers govt should infact encourage such competition amazon basics provides one of the best cables available for charging your phone or connecting devices as an past customer of many cables from amazon this cable doesn also disappoint supports fast charging for all my samsung phones use samsung pro samsung plus which this cable is compatible with very sturdy thick and very long ft very affordable pricing thanks amazon also use usb cable for my samsung fe super product charging is ok however it mere foot in length the vendor could have mentioned correct product description there is no need to mislead too early to say performance as have received it today good have bought many cheap chinese micro usb cable in rs and rs of ubon and of many other chinese local companies and none of them worked properly finall decided to go for this and it is charging as well transferring data without any issue and am very happy with my purchase my advice dont buy cheap chinese local cables of you will have to throw them in dustbean after some time better buy this one,positive
about the tv wonderful probably the best tv in this price range inr good google interface loaded with features lightweight watt power consumption stable design average sound and picture quality is quite good but if you compare it with premium brands then obviously not that good features most of the streaming apps available and compatible you can connect with wi fi lan cable hdmi set top box laptop usb gaming console old dish cable and direct tv antenna as well built in chromecast to cast any compatible app directly from phone to tv over same wi fi network ways to connect phone via cast feature on mobile apps no password needed only need to be on the same wi fi network via chromecast app project only selected media pics videos or entire phone screen ways to connect pc laptop windows cast option project the entire laptop screen on tv using windows cast option need to be connected on same wi fi network via hdmi cable about the amazon installation service awful the technician brought cheap hanging hook that had mrp inr on it and asked for inr for it without any receipt he kept telling that it was not for sale and company had sent this specially however it clearly had mrp mentioned on it went to market and bought much better cabinet for just inr and for installation of that as well technician was really adamant to drill the two required holes on top he just drilled one on top and one on bottom and kept all the other spare screws which had bought with him after about half an hour of arguments he finally drilled the other required holes and for all this he kept cussing me that wasted his time there was no assistance from the person who represented the service agency as well this whole process took me two hours to complete that too with lots of arguments this was the worst installation experience in my life so far bottomline please do not avail the so called free installation service from amazon it is just scam instead call the acer support they will do the job much better after using it for months here are it pros and cons pros great picture quality it awesome blacks are very good and is adjustable sound with db is very good looks great with thin besel remote comes with favorite ott buttons content upscaling is very good cons remote could have been better can use dth remote to turn on both televisison and set top box remote operation is bit complex motion technology not great there is noticeable blur when watching moving ballson ott but it decreases when you switch to dth overall it nice buy at this price point think am getting fairly better picture quality and sound am satisfied with the product product has good picture quality good product at that price with sound applications running smoothly months older no issues yet it running smoothly you get decent features for the price you pay screen resolution might be set back as you may find pixalation overall it good am amazed with the picture quality of this hd ready tv it is truly an amazing panel found it suitable for viewing distance of between to feet any nearer it may not look very crisp and any farther it will feel like very small size the speakers are also very good for the price and can get very loud without any distortions however since the speaker is downward firing the experience will vary based on whether the tv is wall mounted or kept on stand the remote is good voice search works well for me tv start up takes long time in my opinion but have not compared it against any other inch tv and hence do not know where it stands among peers ghz wifi works very well even across walls only negative aspect faced is the experience of using my bluetooth headphones earphones firstly the connection sometimes doesn happen automatically after restart which means have to remove and re discover the device thru the menu which is not simple secondly the signal itself seems to be very weak and even at distance of feet in front of the tv the signal breaks even if you move your head by inches however am still super happy with this tv got it for during the launch offer and it is totally worth it and is recommended from my side at this price range it is good quality product on this market acer only should work with sound quality improvement otherwise all ok picture quality really impressive wifi connectivity good easy to install boderless screen design is premium and also google voice support is good sometimes lagging no major issues found on this tv just go for it vellu for money good product very nice product save money,positive
absolutely value for money connect it with my samsung inch uhd tv jbl soundbar and jio set top box all is working zakkaass picture quality improved compared to my earlier cable now getting dolby with this set up thumbs up for this item best product at fair price quality of the cable is too good must buy picture clearity upto the mark,positive
achha product hai thoda brightness badhane ki jarurat hai after heavy usage for days pros battery last brightness depends on the brightness of the place we re using it smooth and addictive attracts you to scribble something on it best time pass my years old boy loves to doodle so to avoid him scribble on everything bought this for him now he lovesssssss to write on it while other children addicted in mobile proud of my kid but the misfortune is it addict everyone so when my son busy playing with other toys we started using it cons color started fading could see some dark blue at bottom as it somewhat green colour while writing if we write our palm will be visible in this slate it really drawback even if we cautious about it we re helpless delete button print gone in day easily get scratch size want to big and need more brightness over product is awesome like this product very nice satisfactory brightness is very low and depends on the ambient light in the room otherwise great product na its nice product to use and save paper and for this price range guess its the good option,positive
affordable available and multi purpose cable best suitable for traveling and reducing overall cables to carry warking fine build also good it is nice cable as it fits in most of the phones and devices sturdy one no fear of damage by wear and tear however felt that the cable is heated up substantially with higher currents this uncommon in standard phone cables provided by oems have been using this cable from last few months and very much satisfied with the this product and recommend to go for it the cable quality is very good charging time is good with availability of different cable types considering the price compared to competitors at market this is cheap but no compromises have been made with respect to sturdiness or quality the wires are wonderful despite using it for more over month now no issues at all were faced regarding wire tangling torn out wires etc very sturdy and pretty easy to carry regarding charging speed it delivers what it promised the quality of the ports are also solid no issue had been faced at all packaging was great performance of the product even greater the wires are long enough though in my personal opinion little bit more lengthy would be icing on the cake making the product absolutely perfect one overall very happy with purchasing it great vfm product for all those having multiple type devices with them this one single cable has solution to charging it all warp charge is working fine and satisfactory lightning cable is working in normal condition rather than fats charging but overall the product is awesome and felt value for money like,positive
after about month of usage this is an over all good product from inalsa here are the key highlights has dual speed options to chop onions tomatoes for tadka and also make purees chutnies etc does both effortlessly powerful watt motor cuts through onions like hot knife through butter easy to clean as the blades can be separated from the main jar thanks very useful and handy for daily kitchen needs reasonable price excellent product love good product the product works good and powerful too the box arrived damaged but product aint good value for the money good product motor quality is heavy just concerned about jar request company to make it available on amazon excellent product with heavy bowl powerful motor makes it easier to chop vegetables in few seconds this is very good kitchen accessory for every household needs helps to chop and cut vegetables quickly have used other choppers in the past this has much better cut performance,positive
after changed from my slow gb hdd to this ssd feels like was living in stone age my pc started to run as smoothly as could have ever imagined although am not gamer but can differentiate the performance of my experience one who wants to try out the ssd should have this one as the perfect choice confusing which one buying but after buying this one is best and speed up my pc packaging like no value for money box is band from corner found the start up of the ssd slower like if turn on pc the first thing that kicks in motherboard then gpu cup and right after that the ssd in this case found the ssd took about seconds and delayed response to startup but when ever it didn start it was quick don know probably an issue with my psu or something hands down go for it quite nice sleek design build material is plastic but one thing found odd is that the hdd cover that when put on it and when applied screws then the screws was very hard to put last holes were little misaligned but after little bit of force it fits bought this product in nov easy to install and the performance is good installed into my yr old desktop now my is showing it level best compared to my old hdd it superb to use go for it without any second thought one suggestion if just buying to boost performance and for desktop go for gb version to keep the os and keep the existing hdd as well attached as extended internal drive used to upgrade the speed and performance of my old laptop works as expected at first would like to suggest to look for the rating of the seller selling electronic products before ordering this ordered similiar product crucial ssd gb but instead got toshiba hdd of gb that too loaded with photo and word document of some guy contacted amazon and they refunded me right away then placed this order after searching for rating of this seller which found legit the ssd is good installed it in my asus laptop the laptop is running with gigs of ram gen processor and this ssd after installing it boot up within seconds whereas my previous hdd takes nearly about minutes,positive
after days of usage pls don buy this product it says range but after cm it will properly connect call rieciv not working touch control not better the job good value for the money paid earbuds not with the full charg whenever take out them from the charging box always shows start with also not so much fitted in the ears even changing with the eartips why company is not giving the refund option this is return delivery got and this is also in fault my airpots are not charging this time thek are showing full charged but it not working when suppose to use superb it ok nice but not up to the mark used from months,neutral
after days of use bhaut acha chl rha ha and will review again aapko bata dunga kessa ha thoda time baad but product acha ha abhi tak kuch kharab nahi hua and mene bhe isska khayal rakha ha pencil is good working good but build could be better excellent experience works well with ipad pro inch good battery life no need to buy overpriced apple pencil brilliant product adds value to the pad thankfully the alternative to otherwise expensive brand pencil really great product by king one when purchased the pencil am doubt full about the quality of product but now month used it its amazing product by kingone and it no doubt best alternative for the apple pencil even it supports wireless charging that make it amazing and battery is also to good osm product and didn faces any ancidental power off as other pencils it cool and automatic swich off in it idel time save battery it like all rounder can made note and draw the paintings and so many other things am student it saves moeny it best in one forth price of original one cool great quality with noags for all those who can not afford the apple pencil this one is real problem solver its little hard to get used to the pencil but works like charm zero issues lovely product initially was sceptical using this pencil because it kept skipping lines and became unresponsive but after while it became as smooth as original you must go for it if pressure sensitivity is not what you are looking for with wireless charging and button shortcuts its the best budget pencil will update my review to stars after using and testing it for while if it passes all the criterion thankyou,positive
after days uts tubes not working waste of money fuse early the item is nice light weight and good to use the only issue is crude finish the grill is coming off from sides the reflector surface is bulging out and appears that it may break with heat requested for replacement but mail sent to me says you will refund me the money after receiving the item this was not the arrangement kindly replace the item with one which is free of defects in cold conditions of hills in uttarakhand would like to use this item kindly give your views on my point so that am prepared to receive defect free item from you and return this one sleek body and the colour and only product of three rods with two year warranty light weight too and beautiful stand and can be rotated very good option in this range working efficiently and giving good temperature to my room one of my friend using this product for last years without any problem good point is that it does not gives any smell as other blower gives one suggestion increase power cord length by inches so that we can use any where item broken after some time customer care not picking the phone even single call was very useful in the record breaking winters this year you have up to levels of heating this is the best part the only thing is that the light gets too bright so as to hurt your eyes but this is the issue with all such heater,neutral
